PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE_MEKK2MT
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent response of Alexa488-MEK5 binding to MEKK2 Mutant
RESULT_UNIT,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,10
2054,17507687,9593908,Inactive,15,,,-8
2055,17507796,3189849,Inactive,1,,,8
2056,17507828,3173956,Inactive,3,,,4
2057,17507829,1007014,Inactive,9,,,-2
2058,17507842,9594807,Inactive,13,,,-6
2059,17507843,135463290,Inactive,16,,,-9
2060,17507846,3153712,Inactive,7,,,0
2061,17507863,3117813,Inactive,1,,,6
2062,17507866,1141373,Inactive,12,,,-5
2063,17507867,1106226,Inactive,17,,,-10
2064,17507868,687167,Inactive,8,,,-1
2065,17507879,744521,Inactive,5,,,2
2066,17507882,1162886,Inactive,5,,,2
2067,17507898,3231270,Inactive,20,,,-13
2068,17507904,1432093,Inactive,15,,,-8
2069,17507905,3185254,Inactive,9,,,-2
2070,17507907,1078202,Inactive,3,,,4
2071,17507914,3106268,Inactive,5,,,2
2072,17507920,135498042,Inactive,5,,,2
2073,17507950,1432762,Inactive,7,,,0
2074,17507962,722908,Inactive,12,,,-5
2075,17507989,3155984,Inactive,5,,,2
2076,17507991,3152418,Inactive,10,,,-3
2077,17507996,694914,Inactive,8,,,-1
2078,17507999,3227763,Inactive,7,,,0
2079,17508000,2913231,Inactive,11,,,-4
2080,17508006,3157880,Inactive,4,,,3
2081,17508026,1990018,Inactive,6,,,1
2082,17508038,1432082,Inactive,9,,,-2
2083,17508039,3171951,Inactive,8,,,-1
2084,17508041,3186734,Inactive,3,,,4
2085,17508056,3185137,Inactive,1,,,6
2086,17508079,135427759,Inactive,9,,,-2
2087,17508104,2296301,Inactive,6,,,1
2088,17508226,858337,Inactive,6,,,1
2089,17508250,2857250,Inactive,8,,,-1
2090,17508251,1117367,Inactive,13,,,20
2091,17508273,1099137,Inactive,4,,,3
2092,17508315,5371779,Inactive,13,,,-6
2093,17508328,1724436,Inactive,4,,,3
2094,17508332,692180,Inactive,0,,,7
2095,17508350,519685,Inactive,10,,,-3
2096,17508381,3104534,Inactive,7,,,0
2097,17508382,3104533,Inactive,8,,,-1
2098,17508459,3124282,Inactive,10,,,-3
2099,17508460,953647,Inactive,9,,,-2
2100,17508494,3206393,Inactive,4,,,3
2101,17508508,6871954,Inactive,3,,,10
2102,17508535,1570351,Inactive,4,,,3
2103,17508540,3138331,Inactive,4,,,3
2104,17508555,1073564,Inactive,10,,,-3
2105,17508573,3190941,Inactive,6,,,1
2106,17508581,3179511,Inactive,6,,,1
2107,17508583,12004724,Inactive,33,,,-26
2108,17508602,3160500,Inactive,10,,,-3
2109,17508616,1124686,Inactive,9,,,-2
2110,17508644,859632,Inactive,4,,,3
2111,17508669,759842,Inactive,2,,,9
2112,17508680,135449834,Inactive,5,,,2
2113,17508696,1153152,Inactive,6,,,1
2114,17508717,3227645,Inactive,15,,,-8
2115,17508739,3185140,Inactive,3,,,4
2116,17508744,720506,Inactive,3,,,4
2117,17508759,3117519,Inactive,13,,,-6
2118,17508760,2858154,Inactive,4,,,11
2119,17508768,1173198,Inactive,13,,,-6
2120,17508839,3167478,Inactive,6,,,13
2121,17508855,5763302,Inactive,11,,,-4
2122,17508856,762933,Inactive,2,,,5
2123,17508869,808404,Inactive,7,,,14
2124,17508898,9562792,Inactive,9,,,-2
2125,17508915,3136680,Inactive,4,,,3
2126,17508933,3092419,Inactive,10,,,-3
2127,17508945,1677704,Inactive,6,,,1
2128,17508947,799682,Inactive,12,,,-5
2129,17509003,3104806,Inactive,7,,,0
2130,17509005,1132164,Inactive,9,,,-2
2131,17509049,3111659,Inactive,2,,,5
2132,17509057,767824,Inactive,10,,,-3
2133,17509143,3097712,Inactive,7,,,0
2134,17509145,12004742,Inactive,42,,,-35
2135,17509170,3170798,Inactive,8,,,-1
2136,17509178,826221,Inactive,8,,,-1
2137,17509372,4291016,Inactive,6,,,1
2138,17509445,4591676,Inactive,9,,,-2
2139,17509449,4997264,Inactive,8,,,-1
2140,17509463,4530320,Inactive,9,,,-2
2141,17509469,12004838,Inactive,9,,,-2
2142,17509495,4066820,Inactive,9,,,-2
2143,17509610,12004906,Inactive,0,,,7
2144,17509624,12004910,Inactive,12,,,-5
2145,17509646,4374491,Inactive,8,,,-1
2146,17509655,4917828,Inactive,2,,,5
2147,17509668,4615987,Inactive,4,,,3
2148,17509711,4458493,Inactive,4,,,3
2149,17509769,5293205,Inactive,18,,,-11
2150,17509771,21157845,Inactive,7,,,0
2151,17509804,12004982,Inactive,28,,,-21
2152,17509827,12004991,Inactive,1,,,6
2153,17509854,3532334,Inactive,9,,,-2
2154,17510025,9552557,Inactive,13,,,-6
2155,17510084,9597004,Inactive,16,,,-9
2156,17510167,5984676,Inactive,8,,,-1
2157,17510168,9597213,Inactive,1,,,6
2158,17510173,9596202,Inactive,1,,,8
2159,17510188,608257,Inactive,9,,,-2
2160,17510192,4317909,Inactive,10,,,-3
2161,17510194,12005118,Inactive,9,,,-2
2162,17510196,4226766,Inactive,7,,,0
2163,17510200,4415900,Inactive,21,,,-14
2164,17510203,4411622,Inactive,3,,,10
2165,17510204,4230117,Inactive,8,,,15
2166,17510231,2059153,Inactive,3,,,4
2167,17510322,9631558,Inactive,4,,,3
2168,17510327,12005182,Inactive,36,,,-29
2169,17510352,4757,Inactive,0,,,7
2170,17510384,9556992,Inactive,13,,,-6
2171,17510390,9597154,Inactive,0,,,7
2172,17510391,9597156,Inactive,15,,,-8
2173,17510393,4619776,Inactive,17,,,-10
2174,17510394,5210577,Inactive,3,,,4
2175,17510403,9651022,Inactive,7,,,0
2176,17510458,9597459,Inactive,2,,,9
2177,17510460,9597520,Inactive,7,,,0
2178,17510469,9580242,Inactive,5,,,2
2179,17510471,9598728,Inactive,3,,,4
2180,17510494,750783,Inactive,8,,,-1
2181,17510544,12005252,Inactive,7,,,0
2182,17510555,12005256,Inactive,5,,,12
2183,17510557,12005258,Inactive,7,,,0
2184,17510568,5292926,Inactive,9,,,-2
2185,17510590,12005277,Inactive,6,,,1
2186,17510595,4150312,Inactive,6,,,13
2187,17510596,12005279,Inactive,4,,,3
2188,17510602,12005281,Inactive,9,,,-2
2189,17510606,12005282,Inactive,1,,,6
2190,17510607,12005283,Inactive,0,,,7
2191,17510621,4229849,Inactive,6,,,1
2192,17510624,4219374,Inactive,0,,,7
2193,17510629,5215887,Inactive,15,,,-8
2194,17510631,4086401,Inactive,5,,,2
2195,17510641,3256087,Inactive,10,,,-3
2196,17510706,135423154,Inactive,20,,,-13
2197,17510730,4175459,Inactive,2,,,5
2198,17510765,3941128,Inactive,10,,,-3
2199,17510774,3675040,Inactive,9,,,-2
2200,17510819,5127941,Inactive,8,,,15
2201,17510820,12005350,Inactive,1,,,8
2202,17510835,715273,Inactive,13,,,-6
2203,17510846,6254849,Inactive,13,,,-6
2204,17510926,5179106,Inactive,13,,,-6
2205,17510930,1674526,Inactive,10,,,-3
2206,17510931,5788128,Inactive,3,,,10
2207,17510932,12005383,Inactive,2,,,5
2208,17510995,6617289,Inactive,9,,,-2
