,0
102571641.0,42.0
9809368.0,42.0
9909190.0,42.0
44157038.0,42.0
67207673.0,42.0
9996409.0,42.0
4091799.0,42.0
25174437.0,42.0
5280637.0,42.0
122385860.0,42.0
134828011.0,42.0
44558994.0,42.0
97226.0,41.0
6536972.0,41.0
11249248.0,41.0
73427517.0,41.0
1791111.0,41.0
135413557.0,41.0
24800940.0,41.0
9954236.0,41.0
23786300.0,41.0
44601730.0,41.0
45782783.0,41.0
75368798.0,41.0
92783.0,41.0
14733728.0,41.0
137248660.0,41.0
14562693.0,41.0
100625246.0,41.0
445455.0,41.0
448942.0,41.0
25110544.0,41.0
23648867.0,41.0
51355147.0,41.0
394397.0,41.0
25025298.0,41.0
24765256.0,41.0
134827965.0,41.0
134828039.0,41.0
134827958.0,41.0
134827945.0,41.0
71452522.0,41.0
134828042.0,41.0
134828028.0,41.0
124052.0,41.0
15560577.0,41.0
134827991.0,41.0
10038339.0,41.0
14413056.0,41.0
135929552.0,41.0
134827960.0,41.0
71761758.0,41.0
134828049.0,41.0
5320315.0,41.0
134827957.0,41.0
71517121.0,41.0
45272307.0,41.0
370.0,41.0
12132773.0,41.0
11729855.0,41.0
5316673.0,41.0
6442393.0,41.0
134828033.0,41.0
73659.0,41.0
134827976.0,41.0
5281605.0,41.0
5281614.0,41.0
10741001.0,41.0
134828007.0,41.0
10386173.0,41.0
134828014.0,41.0
76181214.0,41.0
134828048.0,41.0
10503181.0,41.0
97042256.0,41.0
134827996.0,41.0
12444634.0,41.0
134828043.0,41.0
158566.0,41.0
134828021.0,41.0
44543721.0,41.0
44715282.0,10.0
135927203.0,41.0
134828015.0,41.0
639644.0,41.0
134827975.0,41.0
134828035.0,41.0
134828004.0,41.0
14139558.0,41.0
134827986.0,41.0
134827990.0,41.0
11824249.0,41.0
134828037.0,41.0
134827984.0,41.0
134828026.0,41.0
44575409.0,41.0
134827994.0,41.0
134828040.0,41.0
134828005.0,41.0
134828008.0,41.0
12303262.0,41.0
13819728.0,41.0
44543738.0,41.0
134828027.0,41.0
53392810.0,41.0
5484735.0,10.0
114917.0,40.0
16048654.0,40.0
9913767.0,40.0
3103157.0,40.0
75368772.0,40.0
45359512.0,40.0
129716126.0,40.0
134828017.0,40.0
134828032.0,40.0
134827963.0,40.0
134828047.0,40.0
134828045.0,40.0
134827998.0,40.0
14079439.0,40.0
66549226.0,40.0
124080638.0,40.0
11719358.0,40.0
5490298.0,40.0
132471261.0,40.0
9936153.0,40.0
122105.0,40.0
126970753.0,40.0
102146815.0,40.0
44450228.0,40.0
11178318.0,40.0
134827999.0,40.0
70789336.0,40.0
44593673.0,40.0
11977938.0,24.0
3778105.0,24.0
46931017.0,24.0
71696573.0,24.0
8549.0,23.0
82146.0,23.0
24978538.0,23.0
9868580.0,23.0
10314719.0,23.0
46934289.0,23.0
45359771.0,23.0
45360078.0,23.0
10440875.0,23.0
4209683.0,23.0
44556044.0,23.0
57971750.0,23.0
9872609.0,23.0
11398034.0,23.0
134828003.0,23.0
23815406.0,22.0
23846529.0,22.0
52912189.0,22.0
45359621.0,22.0
53239854.0,22.0
24808572.0,22.0
51136553.0,22.0
56776202.0,22.0
75528852.0,22.0
110062435.0,22.0
56776364.0,22.0
75528929.0,22.0
45359812.0,22.0
57509360.0,22.0
9821787.0,22.0
46228957.0,22.0
54210200.0,22.0
136173253.0,22.0
16218979.0,22.0
60700.0,21.0
91610.0,21.0
24867454.0,21.0
5287792.0,21.0
12315418.0,21.0
23928130.0,21.0
184984.0,21.0
441328.0,21.0
12002015.0,21.0
23757247.0,21.0
68591.0,21.0
25150014.0,21.0
24739943.0,21.0
11712649.0,21.0
25145656.0,21.0
44462760.0,21.0
9801969.0,21.0
6675804.0,21.0
23955805.0,21.0
45359563.0,21.0
656954.0,21.0
10350459.0,21.0
60060286.0,21.0
46213949.0,21.0
24952929.0,21.0
51136337.0,21.0
75368756.0,21.0
75368727.0,21.0
51136356.0,21.0
136268314.0,21.0
45783083.0,21.0
75528858.0,21.0
56776250.0,21.0
45782994.0,21.0
75412006.0,21.0
133053878.0,21.0
14427336.0,21.0
45360204.0,21.0
57509447.0,21.0
56776181.0,21.0
57509319.0,21.0
75368819.0,21.0
75528928.0,21.0
45783238.0,21.0
56776186.0,21.0
57509422.0,21.0
73088450.0,21.0
45359535.0,21.0
23872145.0,21.0
480777.0,21.0
25018670.0,21.0
75528899.0,21.0
75536016.0,21.0
11256720.0,21.0
68853159.0,21.0
52936849.0,21.0
11965767.0,21.0
60026.0,21.0
23649325.0,21.0
53326156.0,21.0
24756702.0,21.0
72706837.0,21.0
105074.0,21.0
136239906.0,21.0
9971251.0,21.0
10343454.0,21.0
6603874.0,21.0
134827944.0,21.0
71507777.0,21.0
301757.0,21.0
11740730.0,21.0
5392245.0,21.0
12309204.0,21.0
662.0,21.0
134827974.0,21.0
134828022.0,21.0
1889.0,21.0
134827969.0,21.0
442279.0,21.0
53261448.0,21.0
6436831.0,21.0
134827941.0,21.0
24894609.0,21.0
132942364.0,21.0
134827982.0,21.0
134828012.0,21.0
5316904.0,21.0
52918260.0,21.0
20485.0,21.0
124201666.0,21.0
53242986.0,21.0
44543724.0,21.0
56946881.0,21.0
134827967.0,21.0
98912.0,21.0
253955.0,21.0
73265302.0,20.0
23663963.0,20.0
119175.0,20.0
24771867.0,0.0
45359408.0,20.0
25064137.0,20.0
12445011.0,20.0
12443235.0,20.0
100332.0,20.0
57509469.0,20.0
57509430.0,20.0
5315645.0,20.0
9843028.0,20.0
136237316.0,20.0
16741475.0,20.0
6438399.0,20.0
13917677.0,20.0
71449713.0,20.0
21123718.0,20.0
11508953.0,20.0
134828046.0,20.0
470261.0,20.0
11791469.0,20.0
7093249.0,20.0
624831.0,20.0
165506.0,20.0
134828044.0,20.0
134828041.0,20.0
21608802.0,20.0
10455790.0,10.0
133264.0,10.0
23684123.0,10.0
60021.0,10.0
15004.0,10.0
4474062.0,10.0
4194514.0,10.0
5694.0,10.0
5155.0,10.0
446378.0,10.0
442614.0,10.0
8593.0,10.0
457964.0,10.0
2000.0,10.0
2581.0,10.0
167963.0,10.0
115269.0,10.0
5353634.0,10.0
24771777.0,10.0
9969021.0,10.0
216345.0,10.0
9549297.0,10.0
9403.0,10.0
2787.0,10.0
216239.0,10.0
5484735.0,10.0
11595431.0,10.0
10357584.0,10.0
23872147.0,10.0
23900000.0,10.0
5315483.0,10.0
442435.0,10.0
16196970.0,10.0
23843930.0,10.0
6451074.0,10.0
14137704.0,10.0
23757175.0,10.0
16745396.0,10.0
23874480.0,10.0
23930356.0,10.0
23760094.0,10.0
5316430.0,10.0
23844050.0,10.0
10407821.0,10.0
23955871.0,10.0
23815374.0,10.0
23786400.0,10.0
119205.0,10.0
11156036.0,10.0
23786420.0,10.0
23786282.0,10.0
159014.0,10.0
11166301.0,10.0
10549806.0,10.0
24069167.0,10.0
23843967.0,10.0
188977.0,10.0
6426742.0,10.0
23757202.0,10.0
24041587.0,10.0
16655077.0,10.0
23983709.0,10.0
24871106.0,10.0
24094076.0,10.0
23928006.0,10.0
23815265.0,10.0
23844029.0,10.0
12310342.0,10.0
23757244.0,10.0
23844089.0,10.0
151166.0,10.0
10798271.0,10.0
5287855.0,10.0
11977753.0,10.0
6918454.0,10.0
10206158.0,10.0
9803963.0,10.0
11634725.0,10.0
92123.0,10.0
480860.0,10.0
133021.0,10.0
5282350.0,10.0
53317853.0,10.0
57519517.0,10.0
2836187.0,10.0
46943432.0,10.0
619101.0,10.0
2455.0,10.0
9820008.0,10.0
9867642.0,10.0
9826188.0,10.0
24864821.0,10.0
16202152.0,10.0
16678941.0,10.0
25099184.0,10.0
119034.0,10.0
11978790.0,10.0
11440648.0,10.0
10339779.0,10.0
59397065.0,10.0
25265312.0,10.0
133053853.0,10.0
24094148.0,10.0
44237956.0,10.0
13857524.0,10.0
45359586.0,10.0
11709595.0,10.0
13250758.0,10.0
45359609.0,10.0
71299339.0,10.0
56963315.0,10.0
57379345.0,10.0
25227847.0,10.0
10276451.0,10.0
56593118.0,10.0
5282337.0,10.0
4695397.0,10.0
11420211.0,10.0
11245456.0,10.0
6433122.0,10.0
25138295.0,10.0
6918542.0,10.0
24882669.0,10.0
9912381.0,10.0
1048267.0,10.0
1074953.0,10.0
3164070.0,10.0
11663667.0,10.0
11618368.0,10.0
10186367.0,10.0
11289644.0,10.0
23633604.0,10.0
6918649.0,10.0
2750328.0,10.0
51033997.0,10.0
159594.0,10.0
9917079.0,10.0
130904.0,10.0
45138674.0,10.0
180496.0,10.0
24946690.0,10.0
9871419.0,10.0
9912992.0,10.0
25103689.0,10.0
10310100.0,10.0
54682461.0,10.0
53377448.0,10.0
53242268.0,10.0
71656520.0,10.0
45359320.0,10.0
9993091.0,10.0
45360146.0,10.0
51136327.0,10.0
75411948.0,10.0
